Geography,zcta_zip,total_pop_18_24,me_pop_18_24,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Less than high school graduate,Margin of Error!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Less than high school graduate,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!High school graduate (includes equivalency),Margin of Error!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!High school graduate (includes equivalency),Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Some college or associate's degree,Margin of Error!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Some college or associate's degree,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Bachelor's degree or higher,Margin of Error!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over,Margin of Error!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,Margin of Error!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,"Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","Margin of Error!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma",Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),Margin of Error!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),"Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree","Margin of Error!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree",Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,Margin of Error!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Margin of Error!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Margin of Error!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher,Margin of Error!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,Margin of Error!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over,Margin of Error!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over!!High school graduate or higher,Margin of Error!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over!!High school graduate or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over!!Bachelor's degree or higher,Margin of Error!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over!!Bachelor's degree or higher
Geography,zcta_zip,total_pop_18_24,me_pop_18_24,total_less_hs12_18_24,me_less_hs12_18_24,total_hs_18_24,me_hs_18_24,total_some_col_18_24,me_some_col_18_24,total_col+_18_24,me_col+_18_24,total_pop_25+,me_total_pop_25+,total_less_hs9_25+,me_less_hs9_25+,total_less_hs12_25+,me_less_hs12_25+,total_hs_25+,me_hs_25+,total_some_col_25+,me_some_col_25+,total_associates_25+,me_associates_25+,total_col_ba_25+,me_col_ba_25+,total_grad_25+,me_grad_25+,total_over_hs_25+,me_over_hs_25+,total_ba_over_25+,me_ba_over_25+,total_pop_65+,me_pop_65+,total_over_hs_65+,me_over_hs_65+,total_ba_over_65+,me_ba_over_65+
8600000US06390,ZCTA5 06390,7,9,0,12,3,4,0,12,4,6,40,27,0,12,0,12,29,24,2,3,0,12,9,9,0,12,40,27,9,9,5,6,5,6,0,12
8600000US10001,ZCTA5 10001,2729,483,128,123,681,264,894,307,1026,300,19550,1319,845,300,633,226,1945,503,1431,357,579,279,8571,1114,5546,624,18072,1278,14117,1209,3164,391,2284,344,1344,261
8600000US10002,ZCTA5 10002,5688,831,557,226,993,284,2471,529,1667,412,58942,2466,11227,1243,8729,1168,10996,1214,5190,685,2459,400,14061,1193,6280,638,38986,1827,20341,1326,17651,1214,7777,941,2899,800
8600000US10003,ZCTA5 10003,12337,808,90,72,3441,720,6634,733,2172,488,38411,2319,1108,400,592,201,1991,505,2137,386,1408,449,17347,2041,13828,1109,36711,2337,31175,2444,6924,767,6361,780,4622,632
8600000US10004,ZCTA5 10004,167,122,34,52,47,77,6,9,80,76,2899,626,12,20,1,2,60,51,79,53,22,26,1324,379,1401,380,2886,623,2725,600,278,201,277,201,228,194
8600000US10005,ZCTA5 10005,1082,487,0,17,99,116,325,281,658,306,6698,723,15,19,2,4,434,242,79,81,28,25,3451,655,2689,466,6681,722,6140,656,92,87,92,87,91,87
8600000US10006,ZCTA5 10006,243,152,0,12,77,111,35,33,131,85,2675,480,0,12,0,12,48,67,105,84,31,35,1109,267,1382,305,2675,480,2491,479,17,25,17,25,17,25
8600000US10007,ZCTA5 10007,445,215,49,51,138,110,176,107,82,56,5676,839,77,84,215,256,296,173,196,93,84,77,2812,626,1996,478,5384,723,4808,716,424,185,361,169,333,164
8600000US10009,ZCTA5 10009,5557,959,454,251,595,203,1843,464,2665,660,46500,2542,2827,497,2911,522,6053,769,4300,683,1844,516,17188,1581,11377,1554,40762,2554,28565,2113,8659,728,6136,724,3261,678
8600000US10010,ZCTA5 10010,3967,873,144,113,657,329,2245,749,921,346,26193,1766,180,140,723,396,2534,776,2134,819,667,213,9757,985,10198,1259,25290,1745,19955,1395,5779,1320,5445,1282,3725,1181
8600000US10011,ZCTA5 10011,3992,591,215,119,702,236,1559,484,1516,523,41745,2113,802,291,784,268,2035,384,3104,692,1245,349,16799,1342,16976,1498,40159,2073,33775,1805,8255,840,7634,811,5821,836
8600000US10012,ZCTA5 10012,2821,463,65,60,376,168,864,274,1516,338,18392,1130,407,167,419,201,1092,307,1081,236,329,130,8528,936,6536,704,17566,1121,15064,1154,3350,444,2903,424,2233,366
8600000US10013,ZCTA5 10013,2411,382,162,95,281,223,1121,321,847,294,21806,1852,2222,452,1354,373,1536,463,1176,261,493,213,8846,1214,6179,807,18230,1826,15025,1719,5000,886,3247,801,2251,587
8600000US10014,ZCTA5 10014,1709,306,32,36,99,88,453,162,1125,297,25001,1491,41,47,186,105,1307,401,1913,627,435,201,11412,1086,9707,939,24774,1486,21119,1365,4784,710,4649,717,3516,671
8600000US10016,ZCTA5 10016,6192,901,180,151,437,227,1177,289,4398,895,42003,2222,967,425,790,305,2186,767,3332,955,1042,294,17519,1289,16167,1516,40246,2174,33686,1913,7817,977,6846,888,4351,544
8600000US10017,ZCTA5 10017,1233,475,69,64,34,51,166,92,964,443,13656,1322,383,235,244,168,410,200,902,282,79,57,5528,685,6110,1150,13029,1249,11638,1224,3569,938,3380,889,2678,798
8600000US10018,ZCTA5 10018,748,339,9,12,14,16,267,271,458,195,6914,789,209,122,306,137,458,175,517,175,184,118,2682,491,2558,443,6399,768,5240,725,825,404,528,308,335,298
8600000US10019,ZCTA5 10019,2751,554,20,45,483,225,709,262,1539,355,39713,1924,775,241,668,263,3736,726,3344,676,1932,589,14714,1587,14544,1372,38270,2041,29258,2040,7850,1151,7103,1151,3846,983
8600000US10020,ZCTA5 10020,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
8600000US10021,ZCTA5 10021,1854,723,157,145,210,153,314,198,1173,718,33867,2079,242,179,380,389,2043,450,3005,724,916,355,12139,1518,15142,1372,33245,1963,27281,1865,10399,1199,9936,1050,7053,961
8600000US10022,ZCTA5 10022,1470,301,2,6,439,199,337,115,692,222,26977,2289,483,304,160,105,1449,545,1613,383,856,302,9927,1146,12489,1678,26334,2314,22416,2072,8911,1477,8664,1448,6650,1288
8600000US10023,ZCTA5 10023,3624,722,101,79,1026,448,1327,333,1170,420,50025,2483,492,323,461,193,2543,507,3969,855,1031,360,17825,1764,23704,1765,49072,2508,41529,2240,14126,1466,13676,1482,10610,1325
8600000US10024,ZCTA5 10024,1942,593,168,106,465,318,500,193,809,297,48391,3207,1180,630,807,263,2612,956,2508,440,1332,388,17308,1392,22644,2205,46404,3127,39952,2744,12361,1098,11225,1021,8706,1006
8600000US10025,ZCTA5 10025,9317,1228,198,106,946,260,4427,825,3746,824,70161,3169,4239,944,2778,637,6651,971,6581,1020,2334,465,20720,1963,26858,1990,63144,3236,47578,2755,18777,1414,15655,1457,10745,1168
8600000US10026,ZCTA5 10026,3716,768,554,191,1379,535,1207,372,576,282,27757,1557,1593,335,2419,537,5766,870,3670,654,1137,259,6927,798,6245,686,23745,1512,13172,1062,4195,598,2938,585,1118,339
8600000US10027,ZCTA5 10027,10867,769,689,263,1979,398,5926,580,2273,450,42603,1849,2384,442,2995,532,8634,969,5033,684,2054,363,10380,1121,11123,1082,37224,1741,21503,1444,7155,642,5321,501,2254,354
8600000US10028,ZCTA5 10028,2103,625,56,52,197,115,880,528,970,303,38675,2532,611,286,223,138,2038,636,2946,923,1154,518,13589,1301,18114,2024,37841,2555,31703,2255,9517,1181,9220,1162,6679,1041
8600000US10029,ZCTA5 10029,7176,612,774,232,1821,420,3129,425,1452,402,53026,2421,6575,801,6441,1018,12521,1158,7448,1109,2806,526,9399,926,7836,954,40010,2364,17235,1350,11414,1283,6618,1048,1678,275
8600000US10030,ZCTA5 10030,2392,435,296,148,700,234,787,237,609,265,22696,1443,2253,473,2447,489,4753,654,4245,717,1070,283,4101,490,3827,628,17996,1297,7928,832,3815,565,2271,517,872,282
8600000US10031,ZCTA5 10031,5718,798,748,242,907,304,2473,488,1590,375,44879,2553,6210,1013,4330,981,8832,914,7097,1053,1933,445,9353,1073,7124,883,34339,2248,16477,1305,6650,721,3361,567,983,246
8600000US10032,ZCTA5 10032,6371,865,942,292,1115,402,2708,673,1606,395,45563,2442,8588,1217,4671,710,7638,1071,6567,956,2329,492,9899,1095,5871,765,32304,2066,15770,1361,9451,1056,4711,797,1950,624
8600000US10033,ZCTA5 10033,5289,875,773,300,1083,298,2612,606,821,202,43326,2461,5850,823,5013,1166,7879,1011,5806,938,2277,592,9680,1098,6821,686,32463,2078,16501,1326,7385,754,3483,479,1640,360
8600000US10034,ZCTA5 10034,3371,565,614,226,679,271,1661,417,417,178,30644,1841,4154,639,3015,533,5295,818,5057,880,1754,452,6600,656,4769,693,23475,1669,11369,972,5386,575,2613,377,941,208
8600000US10035,ZCTA5 10035,3296,668,586,200,878,266,1090,355,742,253,26393,1504,2826,528,3751,574,6894,701,3780,600,1498,352,4605,791,3039,513,19816,1203,7644,684,4987,594,2684,432,616,173
8600000US10036,ZCTA5 10036,2937,891,122,95,497,199,398,162,1920,759,23433,1669,873,568,920,379,1987,509,1885,451,991,347,9317,1128,7460,832,21640,1406,16777,1352,3810,915,2572,626,1568,485
8600000US10037,ZCTA5 10037,1147,255,154,110,152,96,651,208,190,132,14266,1068,587,218,1286,300,3888,597,1794,419,686,218,3395,583,2630,453,12393,1018,6025,759,3500,534,2787,448,790,273
8600000US10038,ZCTA5 10038,2768,496,130,71,530,193,980,295,1128,349,17663,1300,1978,591,1234,345,1877,359,1409,363,492,184,6594,911,4079,516,14451,1111,10673,1009,3987,598,2131,339,1057,263
8600000US10039,ZCTA5 10039,2702,623,864,407,555,202,804,323,479,243,18082,1349,1547,604,1533,350,4589,588,3205,743,1456,375,3213,510,2539,435,15002,1091,5752,710,2788,342,2207,298,625,207
8600000US10040,ZCTA5 10040,4155,542,590,247,861,218,2031,348,673,215,32867,1713,4584,788,3431,676,6148,747,4526,504,1726,413,7297,733,5155,598,24852,1340,12452,834,8117,1031,4749,960,2135,597
8600000US10044,ZCTA5 10044,736,326,27,28,262,259,110,96,337,167,10104,815,499,276,247,128,1442,333,722,255,358,195,2170,425,4666,479,9358,809,6836,702,2539,412,2174,414,1226,353
8600000US10065,ZCTA5 10065,1562,400,29,38,168,126,322,154,1043,310,24002,1265,257,151,164,126,1612,410,1723,390,328,198,9416,906,10502,985,23581,1319,19918,1248,6090,730,5922,725,4151,627
8600000US10069,ZCTA5 10069,131,88,10,17,12,19,40,57,69,67,4421,835,0,17,26,41,430,376,87,95,126,105,1467,443,2285,545,4395,833,3752,703,604,260,578,261,470,245
8600000US10075,ZCTA5 10075,1719,1003,84,103,275,253,657,855,703,325,17561,1582,71,53,220,228,1880,631,1376,553,797,424,6231,849,6986,1292,17270,1642,13217,1446,6422,1017,6184,999,3974,794
8600000US10103,ZCTA5 10103,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
8600000US10110,ZCTA5 10110,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
8600000US10111,ZCTA5 10111,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
8600000US10112,ZCTA5 10112,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
8600000US10115,ZCTA5 10115,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
8600000US10119,ZCTA5 10119,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
8600000US10128,ZCTA5 10128,3494,569,120,65,424,190,846,323,2104,468,46479,2176,1196,620,987,403,3592,819,2026,494,1556,514,17050,1207,20072,1396,44296,1950,37122,1723,10911,1127,9644,1009,7364,840
8600000US10152,ZCTA5 10152,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
8600000US10153,ZCTA5 10153,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
8600000US10154,ZCTA5 10154,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
8600000US10162,ZCTA5 10162,0,12,0,12,0,12,0,12,0,12,904,409,0,12,33,54,303,351,0,12,56,94,311,164,201,134,871,413,512,210,430,407,397,412,167,171
8600000US10165,ZCTA5 10165,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
8600000US10167,ZCTA5 10167,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
8600000US10168,ZCTA5 10168,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
8600000US10169,ZCTA5 10169,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
8600000US10170,ZCTA5 10170,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
8600000US10171,ZCTA5 10171,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
8600000US10172,ZCTA5 10172,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
8600000US10173,ZCTA5 10173,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
8600000US10174,ZCTA5 10174,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
8600000US10177,ZCTA5 10177,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
8600000US10199,ZCTA5 10199,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
8600000US10271,ZCTA5 10271,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
8600000US10278,ZCTA5 10278,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
8600000US10279,ZCTA5 10279,0,12,0,12,0,12,0,12,0,12,96,152,0,12,0,12,0,12,56,89,0,12,0,12,40,64,96,152,40,64,0,12,0,12,0,12
8600000US10280,ZCTA5 10280,361,211,35,51,59,77,73,71,194,174,7411,1186,20,31,52,49,164,114,438,207,96,85,3019,676,3622,857,7339,1184,6641,1154,758,168,722,178,542,175
8600000US10282,ZCTA5 10282,101,86,0,17,28,37,16,26,57,42,4144,742,72,76,21,26,321,261,204,113,395,287,1563,375,1568,450,4051,758,3131,560,270,119,270,119,158,96
8600000US10301,ZCTA5 10301,3636,457,477,164,1005,243,1654,329,500,286,26463,1420,1415,319,2570,517,6577,694,3890,566,1670,330,5430,628,4911,461,22478,1284,10341,834,6144,470,4827,420,2003,259
